;;;;;;;;;;;Package.Mass.Value;;
ID;WEEK COM;MONTH;ORIGIN;ORIGIN CITY;DESTINATION  (DROP LIST);MODE;UNITS;CARTON;GOH UNITS;TOTAL UNITS;WEIGHT;CBM;TYPE
627;2/14/2022;Febuary;Turkey;Istanbul;DE;Road;49885;1293;0;49885;12930;93,096;FTL
628;2/21/2022;Febuary;Turkey;Istanbul;UK;Road;17876;818;4740;22616;12920;58,896;FTL
629;2/21/2022;Febuary;Turkey;Istanbul;UK;Road;73404;1290;0;73404;12900;92,88;FTL
630;2/21/2022;Febuary;Turkey;Istanbul;UK;Road;32381;1374;0;32381;13740;98,928;FTL
631;2/21/2022;Febuary;Turkey;Istanbul;UK;Road;36051;1256;0;36051;12560;90,432;FTL
632;2/21/2022;Febuary;Turkey;Istanbul;DE;Road;21116;892;3808;24924;12728;64,224;FTL
633;2/21/2022;Febuary;Turkey;Istanbul;DE;Road;29203;1340;0;29203;13400;96,48;FTL
634;2/21/2022;Febuary;Turkey;Istanbul;UK;Road;35312;1201;0;35312;12010;86,472;FTL
635;2/21/2022;Febuary;Turkey;Istanbul;UK;Road;29675;1311;0;29675;13110;94,392;FTL
636;2/21/2022;Febuary;Turkey;Istanbul;UK;Road;6015;227;0;6015;2270;16,344;LTL
637;2/21/2022;Febuary;Turkey;Istanbul;DE;Road;47517;1190;0;47517;11900;85,68;FTL
638;2/21/2022;Febuary;Turkey;Istanbul;DE;Road;22707;995;0;22707;9950;71,64;FTL
639;2/21/2022;Febuary;Turkey;Istanbul;DE;Road;4586;198;0;4586;1980;14,256;LTL
640;2/21/2022;Febuary;Turkey;Istanbul;UK;Road;24402;1476;0;24402;14760;106,272;FTL
641;2/21/2022;Febuary;Turkey;Istanbul;DE;Road;26437;1219;919;27356;13109;87,768;FTL
642;2/21/2022;Febuary;Spain;Madrid;CZ;Road;22221;1023;0;22221;10230;73,656;FTL
643;2/21/2022;Febuary;Spain;Barcelona;CZ;Road;15718;806;0;15718;8060;58,032;FTL
644;2/21/2022;Febuary;Spain;Barcelona;CZ;Road;11498;487;0;11498;4870;35,064;FTL
